target,regime,sample_rate_hz,taps,fft_size,phase_mix,phase_delay_samples,tolerance_db,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple,constraint_violation
steep-crossover,continuum,48000,129,1024,1.875,,,0.0129605028,54.8245283,67.5549724,76.7958642,3.75884267,
steep-crossover,continuum,48000,129,1024,2,,,0.0122688845,54.9336354,66.470457,78.6303888,4.26932064,
steep-crossover,factorisation,48000,129,1024,,0,,0.0122688845,54.9336354,66.470457,49.3696112,4.26932064,
steep-crossover,factorisation,48000,129,1024,,4,,0.41199697,32.5208079,50.3556822,49.3880614,4.31854113,
steep-crossover,factorisation,48000,129,1024,,8,,0.12195983,28.7699059,50.5698842,49.4550629,4.45611595,
steep-crossover,factorisation,48000,129,1024,,12,,0.0253035758,21.227824,40.1989139,49.533206,4.67074618,
steep-crossover,factorisation,48000,129,1024,,16,,0.0250945141,6.90119319,34.5220184,49.6141021,4.89171304,
steep-crossover,factorisation,48000,129,1024,,20,,0.0280225246,3.49416712,12.7373302,51.3333205,5.14518558,
steep-crossover,factorisation,48000,129,1024,,24,,0.0284894148,18.7517084,39.9227306,56.3146445,3.82769874,
steep-crossover,factorisation,48000,129,1024,,28,,0.0498787582,17.268852,39.8166525,58.3698874,2.60989809,
steep-crossover,factorisation,48000,129,1024,,32,,0.103719112,24.7793369,44.7789258,63.4968744,0.148465051,
steep-crossover,factorisation,48000,129,1024,,36,,0.081481479,11.0151186,28.8061082,65.2021376,0.131169039,
steep-crossover,factorisation,48000,129,1024,,40,,0.0564959425,19.6709519,45.5976046,66.6823452,0.0794524568,
steep-crossover,factorisation,48000,129,1024,,44,,0.0351710004,16.8241883,43.1770385,68.999527,0.0735228463,
steep-crossover,factorisation,48000,129,1024,,48,,0.0226866619,31.642246,52.5336075,70.4051988,0.147359044,
steep-crossover,factorisation,48000,129,1024,,52,,0.0176121159,35.6964985,56.9214475,70.1514823,0.065819273,
steep-crossover,factorisation,48000,129,1024,,56,,0.0176311958,33.5065619,58.7969041,66.7927357,0.176508966,
steep-crossover,factorisation,48000,129,1024,,60,,0.0159169001,24.182722,50.4120729,66.0123513,0.0130483381,
steep-crossover,factorisation,48000,129,1024,,64,,0.0153970423,45.1015079,61.828118,64,2.55240269e-14,
steep-crossover,floor-probe,48000,129,1024,,,0.25,0.0352701744,26.6748886,29.8354735,49.5972173,5.22444432,1.55298516
steep-crossover,floor-probe,48000,129,1024,,,0.5,0.031890086,29.1335335,35.5809295,49.6094637,5.07035761,0.0822746313
steep-crossover,floor-probe,48000,129,1024,,,1,0.0239399073,36.9376812,41.8176786,49.5190204,4.69864825,0.111619265
steep-crossover,floor-probe,48000,129,1024,,,2,0.0196151476,42.8381403,48.2821278,49.4430705,4.48211011,3.44786211e-05
