target,method,sample_rate_hz,taps,fft_size,phase_delay_samples,sample_index,peak_index,peak_aligned_index,coefficient,normalised_coefficient
crossover,phase-interpolation,48000,129,1024,16,86,23,63,-7.99526996e-07,-9.02960553e-06
crossover,phase-interpolation,48000,129,1024,16,87,23,64,-2.87360967e-07,-3.24536406e-06
crossover,phase-interpolation,48000,129,1024,16,88,23,65,7.11143489e-08,8.0314301e-07
crossover,phase-interpolation,48000,129,1024,16,89,23,66,3.1777511e-07,3.58885179e-06
crossover,phase-interpolation,48000,129,1024,16,90,23,67,4.60166431e-07,5.19697443e-06
crossover,phase-interpolation,48000,129,1024,16,91,23,68,5.35700908e-07,6.05003696e-06
crossover,phase-interpolation,48000,129,1024,16,92,23,69,5.4935961e-07,6.20429403e-06
crossover,phase-interpolation,48000,129,1024,16,93,23,70,5.31285076e-07,6.00016595e-06
crossover,phase-interpolation,48000,129,1024,16,94,23,71,4.8224366e-07,5.44630768e-06
crossover,phase-interpolation,48000,129,1024,16,95,23,72,4.24951794e-07,4.79927143e-06
crossover,phase-interpolation,48000,129,1024,16,96,23,73,3.5627009e-07,4.02360194e-06
crossover,phase-interpolation,48000,129,1024,16,97,23,74,2.92641857e-07,3.30500476e-06
crossover,phase-interpolation,48000,129,1024,16,98,23,75,2.28168196e-07,2.57685959e-06
crossover,phase-interpolation,48000,129,1024,16,99,23,76,1.74583908e-07,1.97169555e-06
crossover,phase-interpolation,48000,129,1024,16,100,23,77,1.24519392e-07,1.40628271e-06
crossover,phase-interpolation,48000,129,1024,16,101,23,78,8.64696036e-08,9.76560409e-07
crossover,phase-interpolation,48000,129,1024,16,102,23,79,5.26720202e-08,5.9486117e-07
crossover,phase-interpolation,48000,129,1024,16,103,23,80,2.95329455e-08,3.33535764e-07
crossover,phase-interpolation,48000,129,1024,16,104,23,81,9.64167844e-09,1.08890073e-07
crossover,phase-interpolation,48000,129,1024,16,105,23,82,-1.89244487e-09,-2.1372675e-08
crossover,phase-interpolation,48000,129,1024,16,106,23,83,-1.17052805e-08,-1.32195743e-07
crossover,phase-interpolation,48000,129,1024,16,107,23,84,-1.55013762e-08,-1.7506765e-07
crossover,phase-interpolation,48000,129,1024,16,108,23,85,-1.89690018e-08,-2.14229919e-07
crossover,phase-interpolation,48000,129,1024,16,109,23,86,-1.83677394e-08,-2.07439451e-07
crossover,phase-interpolation,48000,129,1024,16,110,23,87,-1.84308114e-08,-2.08151766e-07
crossover,phase-interpolation,48000,129,1024,16,111,23,88,-1.58551355e-08,-1.79062896e-07
crossover,phase-interpolation,48000,129,1024,16,112,23,89,-1.45026924e-08,-1.6378883e-07
crossover,phase-interpolation,48000,129,1024,16,113,23,90,-1.14653999e-08,-1.29486607e-07
crossover,phase-interpolation,48000,129,1024,16,114,23,91,-9.85527985e-09,-1.1130242e-07
crossover,phase-interpolation,48000,129,1024,16,115,23,92,-7.14776626e-09,-8.0724616e-08
crossover,phase-interpolation,48000,129,1024,16,116,23,93,-5.83029363e-09,-6.58454959e-08
crossover,phase-interpolation,48000,129,1024,16,117,23,94,-3.75546766e-09,-4.24130664e-08
